28-Jul-95,Waterworld,175000000,88246220,264246220,89246220.0
8-Jan-20,Dolittle,175000000,77047065,251509294,76509294.0
11-May-17,King Arthur: Legend of the Sword,175000000,39175066,139630336,-35369664.0
6-Dec-13,47 Ronin,175000000,38362475,151716815,-23283185.0
10-Mar-22,Turning Red,175000000,0,10872141,-164127859.0
20-May-22,Top Gun: Maverick,170000000,718732821,1472587508,1302587508.0
6-Jun-18,Jurassic World: Fallen Kingdom,170000000,417719760,1308323302,1138323302.0
31-Jul-14,Guardians of the Galaxy,170000000,333714112,770882395,600882395.0
7-May-10,Iron Man 2,170000000,312433331,621156389,451156389.0
28-Mar-14,Captain America: The Winter Soldier,170000000,259746958,714401889,544401889.0
9-Jul-14,Dawn of the Planet of the Apes,170000000,208545589,710644566,540644566.0
10-Nov-04,The Polar Express,170000000,188042855,312183437,142183437.0
30-May-12,Snow White and the Huntsman,170000000,155136755,401021746,231021746.0
1-Jul-03,Terminator 3: Rise of the Machines,170000000,150358296,433058296,263058296.0
5-May-04,Van Helsing,170000000,120150546,300150546,130150546.0
27-Mar-19,Dumbo,170000000,114766307,353166307,183166307.0
29-May-19,Godzilla: King of the Monsters,170000000,110500138,383299914,213299914.0
20-May-15,Tomorrowland,170000000,93436322,206627518,36627518.0
1-Feb-19,Alita: Battle Angel,170000000,85838210,401900040,231900040.0
20-May-16,Alice Through the Looking Glass,170000000,77042381,276928112,106928112.0
1-Jun-22,Jurassic World: Dominion,165000000,376851080,1003700664,838700664.0
21-May-10,Shrek Forever After,165000000,238736787,756244673,591244673.0
24-Oct-16,Doctor Strange,165000000,232641920,676343174,511343174.0
25-Oct-14,Big Hero 6,165000000,222527828,647263005,482263005.0
26-Mar-10,How to Train Your Dragon,165000000,217581232,494870992,329870992.0
1-Nov-12,Wreck-It Ralph,165000000,189412677,496511521,331511521.0
5-Nov-14,Interstellar,165000000,188017894,647074146,482074146.0
15-Sep-21,Dune,165000000,108327830,391381375,226381375.0
22-Jun-16,Independence Day: Resurgence,165000000,103144286,384169424,219169424.0
29-Jul-11,Cowboys and Aliens,163000000,100368560,176038324,13038324.0
16-Mar-17,Beauty and the Beast,160000000,504014165,1268697483,1108697483.0
27-Jun-19,Spider-Man: Far From Home,160000000,390532085,1132107522,972107522.0
6-Dec-18,Aquaman,160000000,335061807,1143758700,983758700.0
17-May-07,Shrek the Third,160000000,322719944,807330936,647330936.0
16-Jul-10,Inception,160000000,292576195,825793570,665793570.0
18-Nov-15,The Hunger Games: Mockingjay - Part 2,160000000,281723902,645890283,485890283.0
17-May-13,Fast and Furious 6,160000000,238679850,789300444,629300444.0
14-May-14,Godzilla,160000000,200676069,529076069,369076069.0
3-Jun-11,X-Men: First Class,160000000,146408305,355408305,195408305.0
25-Dec-08,The Curious Case of Benjamin Button,160000000,127509326,329631958,169631958.0
14-Jul-10,The Sorcerer's Apprentice,160000000,63150991,217986320,57986320.0
12-May-06,Poseidon,160000000,60674817,181674817,21674817.0
25-May-16,Warcraft,160000000,47365290,438899824,278899824.0
1-Nov-19,The Irishman,159000000,0,914706,-158085294.0
26-Jul-23,Haunted Mansion,157750000,67653287,114813700,-42936300.0
29-Sep-16,Deepwater Horizon,156000000,61433527,122359309,-33640691.0
10-Dec-10,The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,418186950,263186950.0
25-Mar-21,Godzilla vs. Kong,155000000,100916094,468043852,313043852.0
24-Jun-15,Terminator: Genisys,155000000,89760956,432150894,277150894.0
16-Mar-18,Pacific Rim: Uprising,155000000,59874525,290930148,135930148.0
24-Nov-04,Alexander,155000000,34297191,167297191,12297191.0
14-Jul-17,War for the Planet of the Apes,152000000,146880162,489592267,337592267.0
25-May-01,Pearl Harbor,151500000,198539855,449239853,297739853.0
19-Jul-23,Barbie,151000000,636048475,1441271205,1290271205.0
28-Jun-07,Transformers,151000000,319246193,708272592,557272592.0
20-Nov-19,Frozen II,150000000,477373578,1453683476,1303683476.0
29-May-17,Wonder Woman,150000000,412563408,817691766,667691766.0
22-Nov-13,Frozen,150000000,400953009,1277921175,1127921175.0
10-Feb-16,Zootopia,150000000,341268248,1002462578,852462578.0
11-Jul-07,Harry Potter and the Order of the Phoenix,150000000,292137260,939619849,789619849.0
18-Nov-05,Harry Potter and the Goblet of Fire,150000000,290201752,886742787,736742787.0
15-May-03,The Matrix Reloaded,150000000,281553689,738576929,588576929.0
14-Dec-07,I am Legend,150000000,256393010,585532684,435532684.0
27-Jan-16,Moana,150000000,248757044,629645455,479645455.0
